comment_id	parent_id	author_name	author_url	comment_text	published_at	like_count
		@AdelineOneLife	https://www.youtube.com/@AdelineOneLife	""	""	1
		@daisylou71	https://www.youtube.com/@daisylou71	"Dieu réunit ceux qui s'aiment"	""	0
		@estadovictoriano	https://www.youtube.com/@estadovictoriano	"O retorno da voz mais linda da atualidade! 🇧🇷"	""	0
		@LeTchetchene-m6h	https://www.youtube.com/@LeTchetchene-m6h	"Puissant !"	""	0
		@rogl3W	https://www.youtube.com/@rogl3W	"It would be legendary legendary if she sang it live instead of a track"	""	0
		@garriguesdidier8646	https://www.youtube.com/@garriguesdidier8646	"Ce fut le plus beau moment de la  cérémonie, le plus émouvant dans une robe magnifique rendant hommage à PARIS, Capitale mondiale de la Mode, depuis la tour Eiffel,  interprétant magistralement l'hymne à l'amour devant le monde entier.

MADAME CÉLINE DION, MERCI MERCI MERCI !"	""	1
		@SoySatiel	https://www.youtube.com/@SoySatiel	""	""	0
		@zaheraalichaouch9164	https://www.youtube.com/@zaheraalichaouch9164	"Merci MA CÉLINE pour ce moment magique je t'espère de guerrir et de retrouver une meilleure santé qu'avant ce mal que DIEU te garde à nous pour le plus longtemps.
Nous t'aimons de tout notre cœur ️ 🫶    ️"	""	0
		@ZenkayX	https://www.youtube.com/@ZenkayX	"c’est trop triste "	""	1
		@BrigittaTruyen	https://www.youtube.com/@BrigittaTruyen	"She is always the best singer for ever and ever from the whole world and so beautyful "	""	0
		@jeanmartel5188	https://www.youtube.com/@jeanmartel5188	"MA-GNI-FI-QUE CHANSON D'AMOUR PAR NOTRE CÉLINE NATIONALE.MERCI ET SURTOUT,BRAVO POUR CE PARTAGE MUSICAL.JE NE SAIS PAS SI CETTE CHANSON-REPRISE DE CÉLINE DION  EST DISPONIBLE EN CD.POUR L'AMOUR DE LA MUSIQUE,UN IMMENSE MERCI À VOUS,TRÈS CHÈRE CÉLINE
QUE DIEU VOUS BÉNISSENT."	""	0
		@tanjanovicic2926	https://www.youtube.com/@tanjanovicic2926	"Za razmisljanja o zivotu, za razmisljanja o ljubavi u svetu,o ljubavi uopsteno,o razumevanju,strpljenju i RAZMISLJANJA O LEPOTI ZIVOTA!.Gospodja Celine ima predivan glas,a tu pesmu mnogo volim.Uvek i zauvek sve najlepse."	""	0
		@NABILELYAKHLIFI	https://www.youtube.com/@NABILELYAKHLIFI	"Beautiful Celine, excellent paris amazing, ️"	""	0
		@sweetdrea-d6i	https://www.youtube.com/@sweetdrea-d6i	"🫶"	""	0
		@seidubraimahrufcata5044	https://www.youtube.com/@seidubraimahrufcata5044	"goosebumps"	""	0
		@junjamaica6152	https://www.youtube.com/@junjamaica6152	"病にも負けないあなたの愛を歌唱力を称賛します"	""	0
		@ivan_tbb	https://www.youtube.com/@ivan_tbb	"I love her"	""	0
		@IcaroRossatto	https://www.youtube.com/@IcaroRossatto	"🇧🇷"	""	0
		@LouvicaCastracane-ry7dh	https://www.youtube.com/@LouvicaCastracane-ry7dh	"Si heureuse pour vous"	""	1
		@satyalazaro7986	https://www.youtube.com/@satyalazaro7986	""	""	0
		@dulcemariaalvarez142	https://www.youtube.com/@dulcemariaalvarez142	"Qué maravilla escucharte!!!"	""	0
		@Alsafix3cx	https://www.youtube.com/@Alsafix3cx	"Céline et Johnny pour chanter Piaf ,on touche au sublime...."	""	0
		@M_in-n9w	https://www.youtube.com/@M_in-n9w	"진짜 너무 좋다…가사가 올림픽에 어울리는지는 한국인으로서 낯설지만, 손동작보면 뭔가 모두에게 하늘의 축복을 내리는 모습같다. 

무엇보다 셀린디온은 국적이 프랑스인이 아니고 캐나다인이다(퀘백주라 불어를 쓰긴하지만). 미국 애틀랜타에서도 올림픽주제가를 불렀다(이것도 너무 좋다).이것이야말로 올림픽정신같다. 국적,인종을 초월한 가수가 타국올림픽에서도 노래부를 수 있는것이다. 

에디트피아프는 프랑스인들이 정말 사랑하는 가수같다. 살아생전에는 그녀의 노래처럼 장밋빛인생같이 파란만장하기도 했지만, 연인을 위해 만든 노래가 올림픽주제가로 사용될 것을 알았을까. 에디트피아프가 정말로 조국과 친구를 버릴려고 가사를 쓴건 아니라고 생각한다. 모두가 손가락질할때 자신을 사랑해주는 진정한 연인을 위한 사랑의 마음을 표현한 헌정곡이라 생각한다."	""	0
		@fernandomiguelhuici4766	https://www.youtube.com/@fernandomiguelhuici4766	"MAGNIFIC,INCREIABLE!!FER."	""	0
		@deniseallaire8144	https://www.youtube.com/@deniseallaire8144	"Grandiose ️"	""	0
		@maricamansourifar850	https://www.youtube.com/@maricamansourifar850	""	""	0
		@raymond-gold	https://www.youtube.com/@raymond-gold	"May God bless your very beautiful heart and soul. You have brought great joy and emotion to my life for decades. Thankyou Celine"	""	12
		@robzap20nintendosteampictures	https://www.youtube.com/@robzap20nintendosteampictures	"Great Performance That song was a Masterpiece"	""	0
		@yvess1792	https://www.youtube.com/@yvess1792	"Ben oui, mais elle était pas en direct. Les organisateurs ont menti pour se faire valoir ou pour des raisons politiques.  C'est pénible ces gens qui s'autorisent à mentir pour un peuple qu'ils jugent immature. Pour qui se prennent- ils?"	""	1
		@AmiraldeGrasse	https://www.youtube.com/@AmiraldeGrasse	"Difficile de réprimer les larmes en entendant Céline Dion chantant cet Hymne à l’Amour grandiose, qui a pu faire croire un instant que la France existe encore !"	""	9
		@hercilia1940	https://www.youtube.com/@hercilia1940	"Amo Celine  Deus a abençoe e que ela volte ao primeiro amor!!!"	""	0
		@chouayebkaraoud1104	https://www.youtube.com/@chouayebkaraoud1104	"Chub Chub Chub Chub 
Chub Chubchub Chub Chub 
Chubchub
Chub Chub Chub Chub Chub"	""	0
		@chouayebkaraoud1104	https://www.youtube.com/@chouayebkaraoud1104	"Chub Chub Chub Chub 
Chub Chub Chub Chub chu b
Chubchub Chub Chub Chub"	""	0
		@chouayebkaraoud1104	https://www.youtube.com/@chouayebkaraoud1104	"Chub Chub Chub Chub 
Chub Chub Chub Chub chu b
Chubchub Chub Chub chub"	""	0
		@BeserraSobral	https://www.youtube.com/@BeserraSobral	"Bravo, bravo, Magnífica! "	""	1
		@syreetaburley1554	https://www.youtube.com/@syreetaburley1554	"I listen to this everyday and I don't speak a word of French "	""	0
		@concretesub8253	https://www.youtube.com/@concretesub8253	"What a voice,must consist,go to port charlotte beautiful"	""	0
		@vieiraedson3821	https://www.youtube.com/@vieiraedson3821	"Perfeito!!!"	""	0
		@sayantandutta2328	https://www.youtube.com/@sayantandutta2328	"Ohhhh..! Madam' caline ... I love this Performance. ... It's .."	""	1
		@DiggerWhoops	https://www.youtube.com/@DiggerWhoops	"A performance for the ages!!!!!"	""	1
		@dwaynielindsay3277	https://www.youtube.com/@dwaynielindsay3277	"The best female singer"	""	0
		@davidom7523	https://www.youtube.com/@davidom7523	"ohhh celine!!!!una actuacion historica de magnitud planetaria!!!!!!!!!!"	""	0
		@silxsara8335	https://www.youtube.com/@silxsara8335	"Nadie como ella !! La amoooo"	""	0
		@yuritzifumiko-b3o	https://www.youtube.com/@yuritzifumiko-b3o	"If you are reading this, it doesn't matter where you are right now on this planet"	""	0
		@marcopole9238	https://www.youtube.com/@marcopole9238	"Très très bel instant sur la tour Eiffel lors de cette cérémonie d' ouverture des jeux olympiques à Paris .. tout simplement BRAVO ."	""	2
		@AnnaSchulz-fr9rd	https://www.youtube.com/@AnnaSchulz-fr9rd	"Po co  to robisz? Ambicja?"	""	0
		@ElsaJean-o8w	https://www.youtube.com/@ElsaJean-o8w	"Magnifique"	""	0
		@CG-yk1rv	https://www.youtube.com/@CG-yk1rv	""	""	0
		@KevinOlive-l9f	https://www.youtube.com/@KevinOlive-l9f	"+"	""	0
		@AdelineOneLife	https://www.youtube.com/@AdelineOneLife	""	""	1
		@dannygrandmaison7874	https://www.youtube.com/@dannygrandmaison7874	"Je suis toujours ben pas le seul à.aimer celine Dion on es des millions ......la fin est magnifique. La posture de celune Dion la plus grande artiste de ce monde ....j'en suis convaincue.  Je voulais juste m'exprimer"	""	6
		@benjcrn	https://www.youtube.com/@benjcrn	"Quel souvenir magnifique... Je revois encore ce moment de la cérémonie. Magnifique.
La France a été au top pendant ces jeux."	""	3
		@marialopezcanas7223	https://www.youtube.com/@marialopezcanas7223	"LA REYNA POR SIEMPRE DE LA MÚSICA  "	""	0
		@sophieliegeon71	https://www.youtube.com/@sophieliegeon71	""	""	0
		@analuciamagalhaes5194	https://www.youtube.com/@analuciamagalhaes5194	"Wonderful !!!!!!! ️️️️️"	""	0
		@SleepySky-pv9up	https://www.youtube.com/@SleepySky-pv9up	"I’ve listened to this song at least 20 times today! I have it on repeat.  1:30 is my favorite part of the song, besides the end."	""	0
		@gladysmartinez2262	https://www.youtube.com/@gladysmartinez2262	"Reina ️🇦🇷"	""	1
		@frederickb.2848	https://www.youtube.com/@frederickb.2848	"L'événement musical  de 2024! J'ai eu des frissons et des larmes de bonheur, sublime! "	""	8
		@florencelauray9549	https://www.youtube.com/@florencelauray9549	"La plus chanson française de tous les temps"	""	0
		@AlissonFerry	https://www.youtube.com/@AlissonFerry	"🫶"	""	0
		@totogamer89	https://www.youtube.com/@totogamer89	"B1"	""	0
		@ValdeniceAlmeida-y2k	https://www.youtube.com/@ValdeniceAlmeida-y2k	""	""	0
		@ClaraGrimal-te6qj	https://www.youtube.com/@ClaraGrimal-te6qj	""	""	0
		@aleksanderzboralski4772	https://www.youtube.com/@aleksanderzboralski4772	"Jedyna rzecz z klasą   pośród tego koszmarnego gówna, które zaprezentowali kompletnie odklejeni i zdegenerowani organizatorzy 
Swoją drogą ciekawe czy CD wiedziała w czym bierze udział "	""	1
		@XavierSolaasensio	https://www.youtube.com/@XavierSolaasensio	"Magnifique, eternel"	""	5
		@akmalludin-p7n	https://www.youtube.com/@akmalludin-p7n	"Bravo bravo pour celine."	""	0
		@Aelfswythe	https://www.youtube.com/@Aelfswythe	"This song moved me so much when I heard it during the Olympics and is still so powerful. After watching the documentary about her health struggles this song means even more. "	""	1
		@emanuelacomerio5334	https://www.youtube.com/@emanuelacomerio5334	"Poverina. E' morta. Piu' che morta si e' letteralmente e letterariamente disintegrata. Vi mando il filmato della implosione e disintegrazione. Non mandate altri filmati perche' non esiste piu'."	""	0
		@SelmoPimentel-d1w	https://www.youtube.com/@SelmoPimentel-d1w	"O melhor momento da abertura!"	""	0
		@anzellebasson8081	https://www.youtube.com/@anzellebasson8081	"merci merci merci"	""	0
		@anzellebasson8081	https://www.youtube.com/@anzellebasson8081	"merci"	""	0
		@anzellebasson8081	https://www.youtube.com/@anzellebasson8081	"hymne l'amour"	""	0
		@chj1894	https://www.youtube.com/@chj1894	"^^목련꽃님"	""	0
		@ghedamsi4834	https://www.youtube.com/@ghedamsi4834	"Bravo Céline Dion, tu m’as fait pleurer"	""	5
		@adrianomartins3847	https://www.youtube.com/@adrianomartins3847	""	""	0
		@LucianaCarlos-c1z	https://www.youtube.com/@LucianaCarlos-c1z	"Good night ️️🫶🫶"	""	0
		@mattkannal5598	https://www.youtube.com/@mattkannal5598	"She embodied world peace, French pride and perseverance…. 
Admittedly, I liked her before this performance.  But I’m now a fan for life.  
Thank you Celine for loving me to tears with this performance and for sharing your life story with us.  
Strength to you and yours dear woman.  You’re a gem of the earth……..  "	""	0
		@marielyrejonespinoza6111	https://www.youtube.com/@marielyrejonespinoza6111	"Bellísimo "	""	0
		@brianmayeur2073	https://www.youtube.com/@brianmayeur2073	"Malheureusement j'en ai pleuré mais de tristesse j'ai été très très touchée par cette performance et même avant là performance quand la musique à retentit au moment d'allumer là vasque olympique l'année 2024 aura été une année dure pour moi la perte de ma grand mère en mai et le pire la perte d'un collègue qui lui été trop jeune pour partir qui s'en est allé quelques jours avant l'ouverture des jo 2024 et lui étant très attaché au sport l'ouverture des JO à été chargé en émotions avec cette magnifique performance pour clôturer cette cérémonie grandiose"	""	2
		@angelinaluna9911	https://www.youtube.com/@angelinaluna9911	"Total mente hermoso "	""	0
		@cristobaltoromadrid8100	https://www.youtube.com/@cristobaltoromadrid8100	"Uno de los momentos más épicos de la historia de la música "	""	0
		@BeatriceTissier	https://www.youtube.com/@BeatriceTissier	"Elle me fait pleuré tellement elle chante bien "	""	2
		@SallyVanCosplay	https://www.youtube.com/@SallyVanCosplay	"Magique... fantastique.. iconique... unique... Moment inoubliable. J'étais en pleurs devant ma tv .."	""	2
		@engin-denizler-enginden-izler	https://www.youtube.com/@engin-denizler-enginden-izler	"⚘"	""	1
		@fargeotsheela6452	https://www.youtube.com/@fargeotsheela6452	"Magnifique, un moment magique. On ne se lasse pas d'écouter cette sublime interprétation de Mme Céline Dion . Respect"	""	3
		@IlijaPeev	https://www.youtube.com/@IlijaPeev	"*Prekrasno*"	""	0
		@juangastonfernandezburdile2849	https://www.youtube.com/@juangastonfernandezburdile2849	"Gracias Celin por hacernos  soñar con tu musica"	""	1
		@antiplouc	https://www.youtube.com/@antiplouc	"not live"	""	0
		@christineartufel1642	https://www.youtube.com/@christineartufel1642	"Un seul mot : MAGNIFIQUE  "	""	16
		@gabrielalbuquerque9517	https://www.youtube.com/@gabrielalbuquerque9517	"She ate that"	""	1
		@jgcsn3533	https://www.youtube.com/@jgcsn3533	"Magnificent An Absolute Legend"	""	0
		@Sophiyalaroa	https://www.youtube.com/@Sophiyalaroa	""	""	1
		@Célidor-dz	https://www.youtube.com/@C%C3%A9lidor-dz	"🇩🇿️🇨🇵️"	""	3
