comment_id	parent_id	author_name	author_url	comment_text	published_at	like_count
UgyMnFBnJOeEdS0h80t4AaABAg		@crystalscott5660	https://yt3.ggpht.com/ytc/AIdro_nlv2_strEDQZlfnsILrNLsohfw46oSm03pdhqlJRxVrg=s48-c-k-c0x00ffffff-no-rj	"❤❤❤❤❤"	"2025-02-22T22:51:09Z"	0
Ugx2TJ5nCHWZEd4tsjJ4AaABAg		@marquesroyal	https://yt3.ggpht.com/MfGJWC60ou905ob_TBcbRW0oMjQaERamFY2ss3Lccu5B1XjeWock7G6SXYZL58wxlDTEyrEV=s48-c-k-c0x00ffffff-no-rj	"❤❤❤"	"2025-02-22T13:37:50Z"	0
Ugzb7wkn7y4NnTrWbkV4AaABAg		@MelleXena	https://yt3.ggpht.com/-gpsO3bCZW-Yw44ZPow6p_a-YEbu56WxUo1YFA__FAIOoOJ9XEjK77II_xJzRxf1NH9P3_saHCs=s48-c-k-c0x00ffffff-no-rj	"曲が凄い！"	"2025-02-13T08:04:16Z"	2
UgxaUPYfKHDfm9pkFxJ4AaABAg		@LeahWright-z1n	https://yt3.ggpht.com/ytc/AIdro_lTVeac9TBBd07-AHzhpJtJaLgoqVGs9xKCtVA_W9cscirrK8ltE9feTCBKXtWrgp2aHQ=s48-c-k-c0x00ffffff-no-rj	"0:15 😮"	"2025-02-02T18:13:05Z"	0
UgwypmodhTBSLVIj5vh4AaABAg		@LeahWright-z1n	https://yt3.ggpht.com/ytc/AIdro_lTVeac9TBBd07-AHzhpJtJaLgoqVGs9xKCtVA_W9cscirrK8ltE9feTCBKXtWrgp2aHQ=s48-c-k-c0x00ffffff-no-rj	"0:11 😯"	"2025-02-02T18:12:39Z"	0
UgzN3yvkVe3j_Z3q3cZ4AaABAg		@MarioChisaguano-i2q	https://yt3.ggpht.com/aCBJRzAHYFvEHTaVxZZqKyy-2P4ingYD6mwzyF_BCnayi2e9o8kSlKVekzGDcHbEDcdwaOqZ=s48-c-k-c0x00ffffff-no-rj	"🌎 Sudamérica mano arriba 🙋🏻"	"2025-01-31T21:10:59Z"	0
UgxsaJBWO2Xmu_Hd3qF4AaABAg		@leticia4herrera582	https://yt3.ggpht.com/ytc/AIdro_nX3S89rXD5-Neb-E8bSKlGfVjZ8d3dOe8kwXE9uoU=s48-c-k-c0x00ffffff-no-rj	"Yasmín❤"	"2025-01-28T01:59:20Z"	0
UgyTCFTcxBg2fVk9CEJ4AaABAg		@Muted_Marcus	https://yt3.ggpht.com/xjP_pn3XN3jtIRKFb7l9Zjo4bLnOC6cYsH1AXq8WPA2gGadvAlknwtoLIZjIWbzpO67WJkQWlA=s48-c-k-c0x00ffffff-no-rj	"Bad Romance
0:00 Intro
0:17 Hook                 0:15
0:25 Hook                 0:23
0:33                            0:31
0:49                            0:47
1:05 Pre-chorus      1:03
1:14 Chorus             1:12
1:45 Hook                 1:43
1:54                            1:52
2:10                            2:08
2:26 Pre-chorus      2:24
2:34 Chorus             2:32
3:06 Hook                3:04
3:14 Hook                3:12
3:22 Bridge              3:20
3:39 Chorus             3:37
4:11 Chorus             4:09
4:43 Outro                4:41"	"2025-01-27T07:48:58Z"	0
UgzWAj4Dqgukgsk_fJd4AaABAg		@MonsterFlame1	https://yt3.ggpht.com/ytc/AIdro_ncbeCgTIl_4LZsVLoEeFHpHe0m4Ubp_iRpiRkfiD1yJptP=s48-c-k-c0x00ffffff-no-rj	"Ra ra ah ah ah!!! Bad Romance is one of my favorites"	"2025-01-24T21:49:23Z"	0
UgzwQoKJpyL6fV_pOlJ4AaABAg		@ciennalat3523	https://yt3.ggpht.com/ytc/AIdro_nWr7uDvH5oUEOmKlTJ7Mg-JvKd9T-iN6sk6At0WdMdCV4=s48-c-k-c0x00ffffff-no-rj	"3:20 <3"	"2025-01-23T03:54:45Z"	0
