comment_id	parent_id	author_name	author_url	comment_text	published_at	like_count
UgxBzDEMT5Fy_VyD55t4AaABAg		@edson-x9y	https://yt3.ggpht.com/CVEYgpuac_s26QQ_RH_ozO0oHDsAody6X9ISoVIVtSaIriQXcB1DuwCuKLW2fTcb7tBwQxQZKA=s48-c-k-c0x00ffffff-no-rj	"2025 GAGA NO BRASIL!! 🇧🇷🇧🇷😍❤️"	"2025-02-21T22:49:34Z"	0
Ugz0WPunj7gHKD1360F4AaABAg		@grace.christina	https://yt3.ggpht.com/llkWYqGH842f4-eNZMrqcSt04STXbDyBes41AtF-uLdCr3cQZD_7KHAtNX6rKMJVg1UBPQJBgw=s48-c-k-c0x00ffffff-no-rj	"The fact that majority of the time she’s harmonizing and not singing the melody, she’s such an amazing musician"	"2025-02-21T14:47:28Z"	0
UgxH8glgJ7_sHQXqQUV4AaABAg		@LPandLRWaremyangels	https://yt3.ggpht.com/swhwWbII3DmgU0RmS70AVl60RB3fSGVLXXZ4DJaNHzeoAt0zYZtXEDC4xv9yIkNU0hJsV8Su=s48-c-k-c0x00ffffff-no-rj	"❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥"	"2025-02-20T17:55:59Z"	0
Ugyql5z-0c0bmTi6xV94AaABAg		@AnteChristo-ox2uu	https://yt3.ggpht.com/kLtDT-kincj4tljcsJWLz-nTWAaytHafh3nVzEUDVVBIrGpS-h0OkZG6g-gK6qYEmtXRn8oaZA=s48-c-k-c0x00ffffff-no-rj	"Pauvre angelique ruher cz pond du serpent"	"2025-02-19T22:00:37Z"	0
UgyvCV3nhC39SP5_fQ94AaABAg		@bonifaciajimenez3850	https://yt3.ggpht.com/j2fBeE_2EDZhokGVvutYxLzPPoM96gYB2QZC9Ffkzmi6vGz1SvNYdU2ns9xIo6IOY_VbxyAN=s48-c-k-c0x00ffffff-no-rj	"3:28 Someone paint this in oil"	"2025-02-19T21:01:18Z"	0
UgwV6EIBRVJESe8H5sh4AaABAg		@carlosmancia7051	https://yt3.ggpht.com/ytc/AIdro_ktcO4r1Y9Crfeii4NeOYkLrrmZ05Sf_pxpaAGGZM-WVFk=s48-c-k-c0x00ffffff-no-rj	"I did  cook  ?"	"2025-02-18T11:03:57Z"	0
UgwJLCGMGnmudNd4jRB4AaABAg		@Kae.Woiderski	https://yt3.ggpht.com/jGsMREuTQ1wEg5s9x7BRaDUBGVtOQoBolMwILt48L0GTYXHL4Eu8TIp8WVPU5pqfqiQFJHP6lg4=s48-c-k-c0x00ffffff-no-rj	"2025 anyone?"	"2025-02-17T20:07:54Z"	3
UgyVJrPplu9ehVH6XEh4AaABAg		@joharagomez-w5l	https://yt3.ggpht.com/ytc/AIdro_ks4PCvQ8bAK18GCHq5C-nQnz4nMA3vJAaWGOK-jS_oShvV4gmjBc6viSjRWiWV1phKsw=s48-c-k-c0x00ffffff-no-rj	"2025"	"2025-02-17T08:22:11Z"	2
UgyzLyHI6N8uA1n-GwZ4AaABAg		@kingchuckfinley	https://yt3.ggpht.com/leAt8mAQwaCRUlZZMWnNOORo_G-25ji4ROHBXc6lNev48rpyFhAq_Ke1h-eCX68epfdhjJbgmVA=s48-c-k-c0x00ffffff-no-rj	"Gaga rocks"	"2025-02-16T18:32:56Z"	1
UgyoGTmvP43jHBgpzr14AaABAg		@a000969	https://yt3.ggpht.com/ytc/AIdro_kRuouB2tqrXoK0do3pnpobl1gJzQg9J5JmlRHeHtXXOWo=s48-c-k-c0x00ffffff-no-rj	"成為國際巨星是因為她掌握到您沒有掌握到的重點ε ＿："	"2025-02-16T12:25:46Z"	1
