comment_id	parent_id	author_name	author_url	comment_text	published_at	like_count
Ugx5mFOhhbno00EKMiN4AaABAg		@ramaaldi2514	https://yt3.ggpht.com/ytc/AIdro_lB8IZ1IJICjQv2FApVRNIzDTcz8spEpT0lAfgDS_hW6Q=s48-c-k-c0x00ffffff-no-rj	"Nama anak Indahnasya"	"2025-01-05T13:24:36Z"	0
UgyaFgrh7QDLr14eA394AaABAg		@lennyg3684	https://yt3.ggpht.com/ytc/AIdro_kDN4qMAisUDqSN76qS8TrcEuA2WFDwjuG30twQ2sg=s48-c-k-c0x00ffffff-no-rj	"i just love her"	"2024-12-22T08:17:16Z"	0
UgzyR5D3vdxXWR4pGdR4AaABAg		@simoneroveto5118	https://yt3.ggpht.com/ytc/AIdro_nh5pOYfI2iWmj6RKOi2UlH88nc0jXL7JSK9NO46_U=s48-c-k-c0x00ffffff-no-rj	"Extreme."	"2024-11-14T12:15:54Z"	0
Ugxxr2WAeoSJ-6vWXXB4AaABAg		@saidameziani7297	https://yt3.ggpht.com/ytc/AIdro_l3JTCrSd4QeTOb4iLvrfbH3DaoeOrmO0GYFFgiaNs=s48-c-k-c0x00ffffff-no-rj	"❤ France algérienne Paris iltone ❤❤ chances baraka Allah engel ❤❤ Pink diamant rubis or ❤❤❤❤❤ sir Ronaldo univers prince sultan ❤❤ internationale ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ empire allah fort ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤all"	"2024-09-23T18:31:03Z"	1
Ugx_C0xeLtBNQzmtz714AaABAg		@mohamadsh9134	https://yt3.ggpht.com/ytc/AIdro_kca4zzSa19srlRdWdaz9q9pwaIGyPYqmyE-ZvehQJr9YL_GufA3vS1TxtgqBQFVeLJKA=s48-c-k-c0x00ffffff-no-rj	"Amazing 🎉"	"2024-09-10T08:46:44Z"	0
UgwT3Ie_ou0rYJNhuVN4AaABAg		@angelicamarcalguarize6244	https://yt3.ggpht.com/ytc/AIdro_lZQD6r7HgjB9GK--luoGFtkFi7oONkUotBNu1vZaty-lQ=s48-c-k-c0x00ffffff-no-rj	"Só digo o dia que ela vier aqui no🇧🇷 aí ela entender o que é público de verdade ❤"	"2024-08-24T00:41:17Z"	0
UgzWoumUxmkQXjmuvK54AaABAg		@mohamedsaidouldali161	https://yt3.ggpht.com/ytc/AIdro_m5DHdJOQs40hzoitGNZg5x-fmV6OYmJoszNAslGR0idT_rVnRjRUDprHsTC8XFm7CrIA=s48-c-k-c0x00ffffff-no-rj	"Meilleure artiste de tou les temps 🥂
Lady Gaga je t'aime fort 💞❤️💜💋🇩🇿"	"2024-08-10T23:25:49Z"	1
UgyMxmU05j-dxmZAIbh4AaABAg		@lyricsv14	https://yt3.ggpht.com/67CtTXkrjFyO4BnS8sZcaOdAGvGZooy-X-a7ZlCa3e0st9qv-B2ii4xFSRAuh-He-AF05kQzig=s48-c-k-c0x00ffffff-no-rj	"1:02 CAUGHT IN A BAD ROMANCE"	"2024-07-29T15:41:37Z"	1
UgzVGLXzSk7yDwePS2d4AaABAg		@HappySad_1738	https://yt3.ggpht.com/zEGUen9JlhL-5fl-MIine_NLEywUNbwYSMwY0lRh91_-h2oz3Z9WZX4Awi5HrYdS6SgJDtoo=s48-c-k-c0x00ffffff-no-rj	"3:08"	"2024-07-25T14:54:59Z"	0
UgzPZllXIrB_zu0OLJB4AaABAg		@Emmetcullen2720	https://yt3.ggpht.com/QwzApbaWUkW2Z1YZHRNcDzS9PXFb7NH3l6X7DJKisY1TE--kxu1OX9tjgTWVcVyvLp5uwTor=s48-c-k-c0x00ffffff-no-rj	"Minuto 03:03 se le sale un demonio"	"2024-07-04T00:39:04Z"	1
