,comment_id,parent_id,author_name,author_url,comment_text,published_at,like_count,source_id
0,UgyMnFBnJOeEdS0h80t4AaABAg,,@crystalscott5660,https://yt3.ggpht.com/ytc/AIdro_nlv2_strEDQZlfnsILrNLsohfw46oSm03pdhqlJRxVrg=s48-c-k-c0x00ffffff-no-rj,❤❤❤❤❤,2025-02-22T22:51:09Z,0,1
1,Ugx2TJ5nCHWZEd4tsjJ4AaABAg,,@marquesroyal,https://yt3.ggpht.com/MfGJWC60ou905ob_TBcbRW0oMjQaERamFY2ss3Lccu5B1XjeWock7G6SXYZL58wxlDTEyrEV=s48-c-k-c0x00ffffff-no-rj,❤❤❤,2025-02-22T13:37:50Z,0,1
2,Ugzb7wkn7y4NnTrWbkV4AaABAg,,@MelleXena,https://yt3.ggpht.com/-gpsO3bCZW-Yw44ZPow6p_a-YEbu56WxUo1YFA__FAIOoOJ9XEjK77II_xJzRxf1NH9P3_saHCs=s48-c-k-c0x00ffffff-no-rj,曲が凄い！,2025-02-13T08:04:16Z,2,1
3,UgxaUPYfKHDfm9pkFxJ4AaABAg,,@LeahWright-z1n,https://yt3.ggpht.com/ytc/AIdro_lTVeac9TBBd07-AHzhpJtJaLgoqVGs9xKCtVA_W9cscirrK8ltE9feTCBKXtWrgp2aHQ=s48-c-k-c0x00ffffff-no-rj,0:15 😮,2025-02-02T18:13:05Z,0,1
4,UgwypmodhTBSLVIj5vh4AaABAg,,@LeahWright-z1n,https://yt3.ggpht.com/ytc/AIdro_lTVeac9TBBd07-AHzhpJtJaLgoqVGs9xKCtVA_W9cscirrK8ltE9feTCBKXtWrgp2aHQ=s48-c-k-c0x00ffffff-no-rj,0:11 😯,2025-02-02T18:12:39Z,0,1
5,UgzN3yvkVe3j_Z3q3cZ4AaABAg,,@MarioChisaguano-i2q,https://yt3.ggpht.com/aCBJRzAHYFvEHTaVxZZqKyy-2P4ingYD6mwzyF_BCnayi2e9o8kSlKVekzGDcHbEDcdwaOqZ=s48-c-k-c0x00ffffff-no-rj,🌎 Sudamérica mano arriba 🙋🏻,2025-01-31T21:10:59Z,0,1
6,UgxsaJBWO2Xmu_Hd3qF4AaABAg,,@leticia4herrera582,https://yt3.ggpht.com/ytc/AIdro_nX3S89rXD5-Neb-E8bSKlGfVjZ8d3dOe8kwXE9uoU=s48-c-k-c0x00ffffff-no-rj,Yasmín❤,2025-01-28T01:59:20Z,0,1
7,UgyTCFTcxBg2fVk9CEJ4AaABAg,,@Muted_Marcus,https://yt3.ggpht.com/xjP_pn3XN3jtIRKFb7l9Zjo4bLnOC6cYsH1AXq8WPA2gGadvAlknwtoLIZjIWbzpO67WJkQWlA=s48-c-k-c0x00ffffff-no-rj,"Bad Romance
0:00 Intro
0:17 Hook                 0:15
0:25 Hook                 0:23
0:33                            0:31
0:49                            0:47
1:05 Pre-chorus      1:03
1:14 Chorus             1:12
1:45 Hook                 1:43
1:54                            1:52
2:10                            2:08
2:26 Pre-chorus      2:24
2:34 Chorus             2:32
3:06 Hook                3:04
3:14 Hook                3:12
3:22 Bridge              3:20
3:39 Chorus             3:37
4:11 Chorus             4:09
4:43 Outro                4:41",2025-01-27T07:48:58Z,0,1
8,UgzWAj4Dqgukgsk_fJd4AaABAg,,@MonsterFlame1,https://yt3.ggpht.com/ytc/AIdro_ncbeCgTIl_4LZsVLoEeFHpHe0m4Ubp_iRpiRkfiD1yJptP=s48-c-k-c0x00ffffff-no-rj,Ra ra ah ah ah!!! Bad Romance is one of my favorites,2025-01-24T21:49:23Z,0,1
9,UgzwQoKJpyL6fV_pOlJ4AaABAg,,@ciennalat3523,https://yt3.ggpht.com/ytc/AIdro_nWr7uDvH5oUEOmKlTJ7Mg-JvKd9T-iN6sk6At0WdMdCV4=s48-c-k-c0x00ffffff-no-rj,3:20 <3,2025-01-23T03:54:45Z,0,1
10,UgzeUaT0Y__tVmfse694AaABAg,,@destineebostick1210,https://yt3.ggpht.com/ytc/AIdro_nWgTL1JKFXNECy-k2rNDW1g7tyHfRoXjr8dJXDZcc=s48-c-k-c0x00ffffff-no-rj,It’s 2025 and I’m here,2025-01-11T05:58:26Z,7,1
11,UgxIAjSkyLNIUSPBXch4AaABAg,,@RansTheGuy,https://yt3.ggpht.com/ZVb_qkj40ZQIRlAuVwNcicxN5yU1dj54iClpEny2wHvxIo2crYy6-BKibUMyeE5sR5IEbBEUWw=s48-c-k-c0x00ffffff-no-rj,"I've listened to ""Story of Undertale"" too many times and I hate myself because I can't listen to this normally 😭",2025-01-09T16:52:28Z,0,1
12,Ugzrqlt-x1769IyB5th4AaABAg,,@federicosiasjr.5462,https://yt3.ggpht.com/stPruNhWWxeV8v578z4LXp4seCgZJmizBMsuBJBYWiptmk6NLO9rScjRE6P7Z7kKGp2J-kbI9A=s48-c-k-c0x00ffffff-no-rj,It's still stuck in my head for so many years,2025-01-07T12:32:10Z,3,1
13,UgyusvGv_KdjjtBom4R4AaABAg,,@Megumi-e6f,https://yt3.ggpht.com/LJWo3WQ6Rxjr8Ercfi9dY75ccAr1fCepnUN4TtnnXRritz4AjTVZGqLlMxeEXf0Ni_BQ1_DZ=s48-c-k-c0x00ffffff-no-rj,I remember my friends and I would listen to this on full blast when we were kids. Good times,2025-01-07T08:23:38Z,8,1
14,UgysttK07tMgpSc_9_94AaABAg,,@mikkelis77,https://yt3.ggpht.com/ytc/AIdro_n858tO-IhD7FpU8iCcoYShinoj_ptgzFGCzxj1hQVCbj0=s48-c-k-c0x00ffffff-no-rj,Lovelylylovely. Hmm.,2025-01-07T00:03:19Z,0,1
15,UgwK2K3KjrKU0r0ti4R4AaABAg,,@Elsie-j1x,https://yt3.ggpht.com/ytc/AIdro_k9jCJGi8-Zs-Lb2gCzSuU9Z0tDjgr5okVNTMG3d1x_7RNl82qb8GwuEqEE0jPXvJuHrQ=s48-c-k-c0x00ffffff-no-rj,Lady gaga  ❤💙💙💙,2025-01-06T23:45:56Z,0,1
16,Ugw2vUXoDbhwUsonzk94AaABAg,,@Ruth-jb2ge,https://yt3.ggpht.com/ytc/AIdro_lkDhfR4IQoQOti0IosPsSAEqhLLgtyGqmMmRGIpKBIdhtOTK_iy1Z_GU0MKBc9sh8dlA=s48-c-k-c0x00ffffff-no-rj,El soundtrack de mi primera vez haciendo yo misma mi pollito navideño en noche buena 2024 ❤,2024-12-25T17:17:11Z,0,1
17,UgyYaFhojX2YNBblKe14AaABAg,,@MusicalEutopia,https://yt3.ggpht.com/ytc/AIdro_klnknmQjzDDddxIgqiM4g_mRLIMNZvpuTc8Fr7x88=s48-c-k-c0x00ffffff-no-rj,Tracee Enim,2024-12-24T07:01:47Z,0,1
18,UgyUxzusMx8HBN5Mw6x4AaABAg,,@George-p6h,https://yt3.ggpht.com/ytc/AIdro_nHKGtG6kqJeto6Y_AAFyDwLEBBYfoV9tH0Co_O1tQf6nytWH5bdjJNNXhuwkq6MaahnQ=s48-c-k-c0x00ffffff-no-rj,Slow the song down all the way 😂,2024-12-16T21:33:04Z,1,1
19,Ugyq9M3ABfjV08MH5eZ4AaABAg,,@ThereforeIA.M,https://yt3.ggpht.com/bhJVsWX7LPAd1F-Ks0XRhLOL_BHpaV0W2p6yIH8y0V03q7TUTtSEAApQkrQ5r6PL3NswPmZbXg=s48-c-k-c0x00ffffff-no-rj,"3:55 ""I DONT WANNA BE FRANCE!!!""",2024-12-15T06:33:49Z,5,1
20,UgzH1JSEqIkr6KlUEOF4AaABAg,,@DaemoonLV125,https://yt3.ggpht.com/TTPGgzJyi7yQ-6Nd6wexm_5tCqne7VXygsmDYGSfEGHSNMHNyAzYPCKKBARhX7-_IR-U2MIZSiI=s48-c-k-c0x00ffffff-no-rj,I can't believe Lady Gaga stealed The Story Of Undertale Song 😭🔥,2024-12-14T22:38:12Z,1,1
21,UgxaQZeu0bDusDgOmE14AaABAg,,@rakesiar,https://yt3.ggpht.com/THBrbtWHrg22Wk0nQPp30kQ0_kFF1LQMC4zgHtYaVGC1YWoiFa4AglKYi3xG8mhOVmUQ2z_Ctg=s48-c-k-c0x00ffffff-no-rj,I can’t believe Goku performed this song with Master Chief.,2024-11-27T19:37:06Z,8,1
22,UgxaQZeu0bDusDgOmE14AaABAg.ABMGAmt7CpBADLMiG0wHnC,UgxaQZeu0bDusDgOmE14AaABAg,@Shadow-ft6yu,https://yt3.ggpht.com/ytc/AIdro_nN-cI1L8wUfekdiyx5V95dRt19EkndJj_2RviB7XNohYA=s48-c-k-c0x00ffffff-no-rj,What are you talking about?,2025-01-16T04:17:46Z,0,1
23,UgzuPcsUFeGSE-OGvYV4AaABAg,,@yourforeignlocal,https://yt3.ggpht.com/ytc/AIdro_kAsOc4KpDyyKjjDOMlqJspoYPksjVtv-pF4L4a4Wo=s48-c-k-c0x00ffffff-no-rj,"Them: can't have bad romance if you never had any romance to begin with
Lady Gaga: Here you go, it's on the house ;)",2024-11-27T04:38:45Z,1,1
24,UgzLWErcChzOdU5OpRd4AaABAg,,@ра́лександ,https://yt3.ggpht.com/3MsMHgLW8xKnFVn-cctAxjrxNAIGyA9ximkiOhg0_gVe70Ary6VMx2jB2U9-zSIKYmSG758egA=s48-c-k-c0x00ffffff-no-rj,спа-спа-спасибо (;,2024-11-27T03:34:33Z,0,1
25,UgxReuBc3eu47LN5DGN4AaABAg,,@Helenium1001,https://yt3.ggpht.com/t_7gppNJA3Nx_hoefByOcC3idY25DRVsSGkt0OJA68sYDLj6S9iaLDX3KlJBVQOMq6EjUecA=s48-c-k-c0x00ffffff-no-rj,Bad romance no needed,2024-11-26T20:27:07Z,0,1
26,UgxEHsn9RGfTnYG3tJF4AaABAg,,@worcestershiresauce6377,https://yt3.ggpht.com/d2WaX3jzXk7tYjB0R-qvJOtCQZq-MlT_SSTeuEo2VhqV1cZFEVjEfHcE5WBry2S_fHe2qXGJ0A=s48-c-k-c0x00ffffff-no-rj,The official head bopper of the century,2024-11-17T20:55:15Z,4,1
27,UgzDRxAiRKAAYIf6aYd4AaABAg,,@julianandrescaicedotimote71,https://yt3.ggpht.com/TnjN7WoWbWeZ-N2HBCD6YkutqA5t2V6EDKo7CzSri475oW65rgCOA7iTWyUuuQIJoL2l_0GUOVI=s48-c-k-c0x00ffffff-no-rj,"0:52,01:25",2024-11-10T03:00:46Z,0,1
28,UgxBB-VZhPDltudknnx4AaABAg,,@CamilaVillanueva-x3u,https://yt3.ggpht.com/ytc/AIdro_nEaD_Rk3gYEqhmikjMp7vwgj1kjo_1clhZVFPoWzf4kyAVnj5RvUUogQGgDuScZLz2rA=s48-c-k-c0x00ffffff-no-rj,"Las cervezas Corazón Serrano 
Con voces esta canción sin voz y con voz luz
El tiqui taka 
Mujeres ambiciosas 
Cómo estás Lalileu y niños 
Cholito Jesús Los toribianitos
Álvaro Soler Volar
Tentei te encontré 
Una pasada en el coche 
María Becerra Exitos 
Locura de amor 
Qué fue lo mismo 
Sin novedad de la princesa y el príncipe azul 
Cabo novela mexicana capitulos completos 
La herencia novela mexicana capitulos completos 
Mas alto que Dios quiera 
Celoso Lele Pons 
Muchas gracias por ser 
Párate y cómodo 
La familia dedos 
Mi chica hermosa 
El cliente 
Sonrisa Ana Torroja
Mecano Hoy no me puedo levantar 
Cherry Ahava Maquillaje 
El pueblo es el corazón Dulce amor 
Suerte 
Mañana voy a ir a buscar 
Salsa Musical 
Muevete Karito
Laura no está Nek 
Mas qué tú amigo Marco Antonio Solis
Por eso te amo Rio Roma 
Río Roma Mi persona favorita 
Río Roma Me cambiaste la vida 
Michel Telo Ai se eu te pego 
Prince Royce Te robaré 
Ellie Goulding Feat Calvin Harris Outside 
La descarada Reyli 
Miley Cyrus Party in the USA 
Anna Carina amándote y Jandy Feliz 
Ella Hansel y Raúl feat Luis Enrique 
Cómo tu Antonio Cartagena 
Salvame RBD
RBD Sólo quédate en silencio 
RBD Ser o Parecer 
Mary Hopkin Those were the days 
The Beatles Twist and Shout
The Beatles Ob La Di Ob La Da
The Chordettes Mr Sandman 
The Chordettes Lollipop
Fiesta Criolla Mechita 
Fiesta Criolla Clarito de luna 
Fiesta Criolla Callejón de un sólo caño 
Eva Ayllón Que viva el Perú señores 
Arturo Zambo Cavero Contigo Perú 
Eva Ayllón Estoy enamorada de mi país 
Eva Ayllón Mal paso 
Arturo Zambo Cavero Y se llama Perú 
Eva Ayllón Ritmo color y sabor 
Arturo Zambo Cavero El Chacombo
La muñequita sally no llores madre
Pastorita Huaracina El aborrecido
Silverio Urbina Qué linda flor",2024-11-07T17:43:13Z,0,1
29,Ugz0IbYPiPyJiJUqToZ4AaABAg,,@katzzxpd,https://yt3.ggpht.com/6ovs5c-_nQOWJnXyUW-eNoaSFymjNYmBUinuHzK2odp8pbWwxtr_elx6NxTV7ED7tkJ0LDGp6A=s48-c-k-c0x00ffffff-no-rj,story of family guy,2024-10-29T21:47:32Z,3,1
30,UgzjQ8EsgVEAnhazPep4AaABAg,,@ElmosUniverse,https://yt3.ggpht.com/q9PGXArh75LqvpTvtS1A8coSsnGbL9J1PH6Cikf1z_IkV-FDfXh33UJ5PwRUOWKW0KWGooCaJQ=s48-c-k-c0x00ffffff-no-rj,"haven't seen Joker 2. Did they at least use this as a track in the movie? If not, maybe that's why it failed.",2024-10-29T10:05:29Z,0,1
31,UgyWhEXG8Vo8hMjFM6V4AaABAg,,@brunodelgadillo2493,https://yt3.ggpht.com/ytc/AIdro_mcbobubYaLp81sfT35eBrmdVy9iLMATwqEaHo7IVw=s48-c-k-c0x00ffffff-no-rj,This is prime Gaga,2024-10-26T07:50:37Z,0,1
32,UgxhyIMIcf-fJA48mqF4AaABAg,,@이선장-k8b,https://yt3.ggpht.com/ytc/AIdro_k9EfuTLGtGCjU_wGvkzo2LXKcYx76mzPlEeEbRHXh4uA=s48-c-k-c0x00ffffff-no-rj,OH~~Ohh~,2024-10-24T22:44:24Z,0,1
33,UgwQflvu4x8xp22BfVJ4AaABAg,,@erickaparedes8946,https://yt3.ggpht.com/ytc/AIdro_no3_-_5s4SVlbMQFcuAGXM8GEAR7ehskn-6F8vAbw=s48-c-k-c0x00ffffff-no-rj,"Lady Gaga Bad Romance
Ed Sheeran Perfect
Beyonce Single Ladies
Alvaro Soler Cero
Ela Taubert Como Paso
Morat Faltas Tu
Juan Luis Guerra La Bilirrubina
Bruno Mars Uptown Funk
Coldplay Paradise
Harry Styles As It Was
Lizzo
Manuel Turizo
Shakira
Ozuna
Ariana Grande
Mariah Carey
Karol G
Benny Ibarra
INXS
Laura Pausini
Alejandro Sanz
Mecano
Gonzalo Hermida
Conchita
Blackpink
BTS
Chino y Nacho",2024-10-22T21:17:55Z,0,1
34,Ugxu3QD1sEqXl9mLHWJ4AaABAg,,@AnitaKmalian,https://yt3.ggpht.com/ytc/AIdro_n0P3r2dt_xOW7IMpld2RrxGBWw0u14CCrewTD_k6rGgh-rAJJjEjQc9tcAQhDqX28vZA=s48-c-k-c0x00ffffff-no-rj,Tr.. ab.. m. Re.. ch....r,2024-10-20T20:20:19Z,0,1
35,UgzU6gp2ffxXnsjVnD14AaABAg,,@morningstarneversleeps,https://yt3.ggpht.com/_XaMrO89v857I0c6-yFXjQz3X4TfdE75iHtARoARRYngCaHpymChVQEwOt8ImwZz4bpCLwwuXw=s48-c-k-c0x00ffffff-no-rj,I could never take this song seriously but it’s still a banger,2024-10-12T17:25:39Z,0,1
36,UgwAw4gFBkCTmTgT8kx4AaABAg,,@morningstarneversleeps,https://yt3.ggpht.com/_XaMrO89v857I0c6-yFXjQz3X4TfdE75iHtARoARRYngCaHpymChVQEwOt8ImwZz4bpCLwwuXw=s48-c-k-c0x00ffffff-no-rj,Lmao me and my cousin dancing to this song like some idiots,2024-10-12T17:25:11Z,0,1
37,UgwFlQswk1Ml7k7dbnV4AaABAg,,@npcteam5732,https://yt3.ggpht.com/EIXkNnRM22QZrnNFMvOlVZ5Zq8MuAMvDAJitEDOGsw9_gpEDfWDZ_jgBy61rm10np688jdhV=s48-c-k-c0x00ffffff-no-rj,I only listened to this to see if it was better than story of undertale,2024-10-08T20:30:10Z,2,1
38,UgwydhMJOhID1mZ4RgJ4AaABAg,,@sdmims1,https://yt3.ggpht.com/r4B9_gQjiV00vFIFyB7bqTps-SU-8IIWY3XGTpA234nn15IvfPf3NaP3zLAfOo8k73CyaFG9PA=s48-c-k-c0x00ffffff-no-rj,Who's here cause the Joker sequel sucks 😂,2024-10-06T23:19:42Z,1,1
39,UgxHUF2z-o-Me9Q9YWV4AaABAg,,@larrybliss8330,https://yt3.ggpht.com/ytc/AIdro_mEBYfsN78YoZtoLPMaJInMWY_B_LKfF78tZx6_z7bQ_Q=s48-c-k-c0x00ffffff-no-rj,"When she sings in a low voice, she reminds me of Lene Lovich.",2024-10-06T13:33:11Z,0,1
40,Ugx8BmB8SNKnUpDuUYJ4AaABAg,,@TheChristianEko,https://yt3.ggpht.com/ERwPXXe3MoJAasMpMKt--V9vePYXjJdwIwEIHod_hQAFCHfu635PzH8jN9MOeWRB7JfwtHGg2Q=s48-c-k-c0x00ffffff-no-rj,her best work other than a star is born songs 2024,2024-10-05T06:33:45Z,0,1
41,Ugw840QyESMy0sjjPX94AaABAg,,@t-kaardo,https://yt3.ggpht.com/RdOyrM_Ayx4TI80OhdbsxHyR4VJGg6fV9qlU0JOa5p17ga5XRlhCqpN2V0NeBLcgguqA7LiX=s48-c-k-c0x00ffffff-no-rj,This song honestly goes hard. Used to like this song when I was little and it still holds up to this day!,2024-10-05T05:14:46Z,1,1
